"","cuisine","count.x","count.y","count"
"1","Italian",122,27,4
"2","American (New)",64,40,14
"3","Japanese",58,12,NA
"4","French",38,10,5
"5","Chinese",35,5,4
"6","Seafood",33,23,17
"7","Bars",32,38,26
"8","Korean",30,5,3
"9","Mediterranean",30,24,8
"10","Pizza",30,14,4
"11","American (Traditional)",28,18,13
"12","Ramen",25,5,4
"13","Mexican",22,2,3
"14","Indian",18,1,NA
"15","Sushi Bars",17,20,2
"16","Wine Bars",16,30,24
"17","Cocktail Bars",14,45,39
"18","Thai",14,6,NA
"19","Cuban",13,NA,NA
"20","Greek",12,4,2
"21","Latin American",11,10,NA
"22","Steakhouses",11,11,5
"23","Tapas/Small Plates",11,14,7
"24","Vietnamese",11,NA,2
"25","Breakfast & Brunch",10,31,41
"26","Gastropubs",9,9,5
"27","Pubs",9,3,2
"28","Burgers",8,10,4
"29","Spanish",8,10,3
"30","Tapas Bars",8,6,9
"31","Asian Fusion",7,16,12
"32","Middle Eastern",7,4,3
"33","Cajun/Creole",6,1,NA
"34","Filipino",6,NA,1
"35","Shanghainese",6,NA,NA
"36","Southern",6,4,NA
"37","Szechuan",6,NA,1
"38","Modern European",5,NA,1
"39","Poke",5,2,1
"40","Cafes",4,8,1
"41","Caribbean",4,1,NA
"42","Chicken Wings",4,1,1
"43","Dim Sum",4,3,NA
"44","Food Court",4,1,NA
"45","German",4,4,NA
"46","Malaysian",4,2,NA
"47","Sandwiches",4,10,10
"48","Turkish",4,NA,1
"49","Argentine",3,NA,NA
"50","Bakeries",3,NA,1
"51","Coffee & Tea",3,2,1
"52","Hot Pot",3,2,1
"53","Lounges",3,4,1
"54","Moroccan",3,3,NA
"55","Noodles",3,25,8
"56","Taiwanese",3,1,1
"57","African",2,NA,NA
"58","Barbeque",2,19,4
"59","Brazilian",2,NA,NA
"60","British",2,2,1
"61","Cambodian",2,NA,NA
"62","Comfort Food",2,10,3
"63","Desserts",2,16,8
"64","Ethiopian",2,NA,NA
"65","Food Trucks",2,NA,NA
"66","Georgian",2,NA,1
"67","Halal",2,4,5
"68","Izakaya",2,4,3
"69","Japanese Curry",2,NA,NA
"70","Lebanese",2,2,NA
"71","Soul Food",2,5,1
"72","Sri Lankan",2,NA,NA
"73","Tacos",2,5,1
"74","Tuscan",2,NA,NA
"75","Vegan",2,4,1
"76","Australian",1,NA,NA
"77","Bagels",1,1,NA
"78","Beer Bar",1,3,9
"79","Belgian",1,NA,NA
"80","Boating",1,NA,NA
"81","Brasseries",1,2,1
"82","Cantonese",1,2,NA
"83","Cheese Shops",1,NA,NA
"84","Chicken Shop",1,3,NA
"85","Coffee Roasteries",1,NA,NA
"86","Delis",1,1,1
"87","Diners",1,3,2
"88","Fast Food",1,1,1
"89","Fondue",1,1,NA
"90","Food Stands",1,2,NA
"91","Grocery",1,1,1
"92","Hawaiian",1,2,NA
"93","Himalayan/Nepalese",1,NA,NA
"94","Hookah Bars",1,NA,NA
"95","Hot Dogs",1,NA,NA
"96","Indonesian",1,NA,NA
"97","Irish",1,2,NA
"98","Irish Pub",1,NA,NA
"99","Juice Bars & Smoothies",1,1,NA
"100","Laotian",1,NA,NA
"101","Persian/Iranian",1,NA,NA
"102","Peruvian",1,6,NA
"103","Puerto Rican",1,1,NA
"104","Russian",1,1,NA
"105","Salad",1,6,10
"106","Seafood Markets",1,NA,NA
"107","Soup",1,1,8
"108","Speakeasies",1,NA,1
"109","Sports Bars",1,3,2
"110","Teppanyaki",1,NA,NA
"111","Uzbek",1,NA,NA
"112","Vegetarian",1,1,1
"113","Venezuelan",1,NA,NA
